Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
145,340,477,10-09-2024,8,221.68
146,394,404,07-04-2024,4,62.6
147,277,285,08-10-2024,5,138.25
148,333,429,16-06-2024,1,42.58
149,39,56,28-11-2024,4,31.48
150,389,135,01-01-2024,10,151.3
151,361,288,27-08-2024,7,195.37
152,377,213,27-10-2023,5,33.95
153,484,370,19-02-2024,2,87.82
154,378,391,12-10-2023,5,167.1
155,191,397,21-01-2024,6,168.9
156,176,66,27-05-2024,5,141.45
157,166,245,24-05-2024,10,160.6
158,183,225,04-07-2023,3,108.12
159,174,51,11-09-2024,3,138.9
160,255,85,27-03-2023,3,58.29
161,227,42,13-01-2024,5,241.75
162,295,298,21-05-2023,7,326.62
163,207,384,23-11-2023,3,101.76
164,467,184,27-06-2024,9,47.25
165,382,362,23-09-2024,6,176.58
166,272,486,17-09-2023,6,114.78
167,168,442,24-11-2024,3,145.44
168,324,36,11-01-2023,10,345.1
169,81,415,04-02-2024,10,295.1
170,121,77,06-05-2023,10,442.8
171,364,397,12-01-2023,10,281.5
172,463,423,20-09-2024,1,25.63
173,399,61,01-07-2023,5,205.25
174,34,29,17-12-2023,4,124.48
175,385,103,12-10-2023,1,43.25
176,86,479,19-09-2023,6,229.62
177,378,121,21-08-2024,3,127.41
178,70,298,03-05-2023,10,466.6
179,325,52,01-02-2023,9,148.77
180,460,227,20-01-2023,7,267.19
181,8,117,18-01-2023,3,44.61
182,129,293,01-11-2023,7,125.51
183,335,371,08-06-2024,1,17.4
184,474,88,30-04-2024,2,80.44
185,15,25,09-03-2023,6,51.3
186,167,120,03-04-2023,7,336.21
187,119,275,30-12-2023,1,25.83
188,46,425,13-03-2023,1,24.23
189,107,240,11-07-2024,6,299.4
190,240,273,02-07-2024,4,49.72
191,418,390,25-03-2024,1,39.96
192,144,380,24-06-2024,2,26.34
193,474,36,31-03-2023,7,241.57
194,463,340,04-11-2024,5,249.9
195,437,241,17-07-2023,2,28.12
196,214,468,03-04-2023,7,214.13
197,256,32,25-05-2024,10,215.6
198,373,117,13-06-2023,1,14.87
199,429,18,30-09-2024,10,394.7
200,313,303,23-11-2023,1,6.57
201,67,463,11-10-2023,4,47.96
202,137,69,17-12-2023,8,70.32
203,116,110,27-12-2023,4,120.6
204,47,427,26-05-2023,3,54
205,279,457,21-03-2023,2,56.44
206,81,130,19-07-2023,1,6.64
207,194,461,06-09-2023,1,9.6
208,13,101,21-05-2024,6,290.94
209,346,449,03-01-2024,10,401.7
210,287,223,14-10-2023,6,39.12
211,397,209,17-01-2024,10,486.7
212,244,300,20-04-2024,2,53.74
213,325,447,17-11-2023,7,253.75
214,103,114,04-09-2024,7,50.96
215,461,138,17-08-2023,8,198.16
216,104,428,28-02-2024,4,90.92
217,414,142,28-12-2022,2,97.92
218,364,47,13-02-2024,8,162.96
219,186,157,11-02-2024,9,172.53
220,376,275,07-07-2023,1,25.83
221,353,219,10-09-2023,5,104.5
222,331,157,19-09-2023,10,191.7
223,213,31,17-12-2022,10,212.3
224,384,90,19-07-2024,4,66.24
225,272,115,08-06-2023,4,112.48
226,437,35,25-01-2024,9,286.29
227,461,308,04-05-2023,8,166
228,400,104,07-06-2024,3,31.68
229,82,482,09-02-2024,7,223.72
230,307,241,10-09-2023,7,98.42
231,22,384,11-11-2023,1,33.92
232,220,229,26-07-2024,5,102.3
233,403,181,28-04-2024,7,271.11
234,149,11,21-11-2024,5,179.75
235,419,459,12-11-2024,3,107.31
236,375,265,04-11-2024,9,419.4
237,47,199,15-08-2023,7,299.67
238,134,280,26-02-2024,6,100.68
239,132,307,19-09-2023,5,72.15
240,457,492,30-05-2023,10,440.7
241,119,69,08-07-2024,6,52.74
242,416,410,15-06-2023,9,398.97
243,82,350,02-08-2024,10,316.7
244,12,380,28-10-2024,3,39.51
245,386,97,01-11-2023,9,411.66
246,401,415,14-11-2024,2,59.02
247,77,142,07-03-2024,10,489.6
248,312,285,09-09-2023,9,248.85
249,131,189,15-01-2023,8,109.2
250,63,65,16-09-2023,9,204.3
251,109,490,12-12-2023,2,25.76
252,405,387,15-11-2023,5,237.1
253,449,273,03-01-2023,3,37.29
254,99,469,18-07-2023,2,46.5
255,217,406,19-04-2023,4,143.16
256,225,174,30-05-2024,9,340.47
257,123,403,06-11-2023,1,15.01
258,179,387,08-08-2023,3,142.26
259,437,77,08-01-2023,2,88.56
260,112,170,07-05-2024,2,22.56
261,200,288,25-07-2023,8,223.28
262,224,376,11-12-2022,6,175.56
263,260,373,20-08-2024,2,78.18
264,290,13,29-10-2023,9,126.36
265,258,100,17-09-2024,9,449.01
266,167,426,02-06-2023,10,328.2
267,467,390,30-08-2024,9,359.64
268,117,56,15-11-2024,9,70.83
269,8,157,15-03-2024,5,95.85
270,120,82,13-04-2024,7,319.9
271,462,40,01-07-2023,1,25.97
272,228,321,02-11-2024,1,24.32
273,357,119,14-12-2022,8,399.04
274,254,120,10-04-2024,2,96.06
275,495,31,05-01-2023,2,42.46
276,166,46,16-11-2024,3,99.51
277,276,292,18-12-2022,1,26.94
278,111,71,18-11-2024,9,346.5
279,204,339,13-11-2024,9,391.59
280,181,377,11-05-2023,8,318.32
281,23,431,23-11-2024,8,155.84
282,364,154,22-11-2024,6,104.64
283,277,471,31-10-2024,8,363.04
284,325,466,06-01-2023,4,148.68
285,198,469,30-07-2024,6,139.5
286,96,264,23-04-2023,2,41.02
287,74,163,25-06-2023,3,57.33
288,6,128,13-11-2023,1,24.04
289,321,491,30-08-2023,2,29.74
290,31,219,18-08-2024,2,41.8
291,214,154,15-04-2024,8,139.52
292,388,432,11-02-2024,4,35.36
293,96,214,20-01-2024,9,163.44
294,21,302,01-10-2023,4,114.68
295,414,269,07-10-2024,5,165.4
296,181,486,13-09-2023,1,19.13
297,382,381,27-07-2024,4,42.4
298,359,73,22-08-2024,10,212.3
299,189,348,29-07-2024,8,100.96
300,90,485,09-12-2023,7,162.12
301,339,346,12-09-2024,4,39.88
302,348,80,29-02-2024,6,209.04
303,423,31,12-08-2023,6,127.38
304,59,229,06-02-2024,9,184.14
305,107,266,18-12-2023,4,133.16
306,54,316,28-11-2024,4,35.24
307,368,133,17-11-2023,1,20.96
308,499,485,19-02-2023,10,231.6
309,185,227,29-12-2022,8,305.36
310,338,334,05-10-2023,3,107.04
311,198,80,05-03-2024,7,243.88
312,209,208,23-04-2023,10,250
313,57,105,11-10-2023,8,240.16
314,449,127,09-03-2024,1,11.66
315,281,119,22-03-2023,8,399.04
316,329,198,30-06-2024,7,156.66
317,400,88,06-01-2023,10,402.2
318,353,84,31-01-2024,8,356.72
319,172,296,27-06-2024,2,22.98
320,376,363,05-04-2024,8,59.84
321,114,386,05-08-2023,8,50.88
322,270,112,08-11-2023,2,16.04
323,36,412,27-06-2023,6,58.98
324,306,214,31-01-2023,7,127.12
325,60,394,10-07-2023,1,27.15
326,16,149,15-06-2024,6,102.54
327,247,409,11-07-2024,2,43.12
328,232,3,19-01-2024,3,47.25
329,171,171,23-09-2023,5,160.75
330,265,65,10-01-2023,10,227
331,429,143,15-07-2023,1,43.65
332,41,113,25-07-2023,2,12.76
333,161,407,08-10-2024,1,42.19
334,193,339,01-03-2024,6,261.06
335,184,334,05-06-2023,7,249.76
336,141,371,23-06-2023,9,156.6
337,230,455,06-12-2023,5,135.15
338,165,486,13-01-2023,2,38.26
339,374,491,21-03-2024,10,148.7
340,460,222,02-03-2023,8,236.72
341,26,333,06-09-2024,2,55.52
342,178,462,24-08-2023,1,49.23
343,75,124,03-01-2023,7,189.7
344,385,218,25-11-2023,5,26.8
345,325,253,04-07-2023,2,23.32
346,122,240,10-03-2024,8,399.2
347,2,118,23-02-2023,3,16.56
348,239,158,19-03-2023,7,172.83
349,159,73,15-04-2023,2,42.46
350,458,154,09-02-2024,6,104.64
351,425,219,26-02-2023,8,167.2
352,178,436,19-03-2023,7,111.3
353,14,360,03-08-2023,5,246.7
354,388,225,28-07-2024,2,72.08
355,437,443,23-10-2023,6,264.3
356,384,102,01-06-2024,3,120.66
357,163,150,06-07-2023,9,287.55
358,474,45,30-01-2023,8,203.92
359,301,378,23-08-2023,6,36.06
360,177,442,23-01-2024,2,96.96
361,415,448,27-07-2023,6,37.56
362,242,292,29-07-2024,3,80.82
363,153,91,04-03-2023,2,55.64
364,357,38,12-05-2024,9,148.23
365,301,200,28-02-2023,7,69.72
366,425,231,08-03-2024,6,56.22
367,497,309,04-04-2023,5,58.7
368,17,488,17-05-2023,10,491.5
369,339,156,09-12-2022,1,31.68
370,462,295,04-02-2024,4,114.64
371,149,120,23-03-2024,4,192.12
372,290,57,21-01-2023,3,70.77
373,428,47,25-10-2024,9,183.33
374,418,64,28-04-2024,9,216.9
375,115,58,19-07-2023,3,103.62
376,360,320,02-03-2023,7,35.49
377,194,208,03-12-2023,5,125
378,203,105,25-09-2024,1,30.02
379,313,135,21-06-2023,7,105.91
380,465,491,18-09-2024,3,44.61
381,485,377,22-07-2023,8,318.32
382,492,333,14-08-2024,1,27.76
383,145,8,04-04-2023,3,146.97
384,304,369,26-06-2024,7,158.55
385,379,110,18-07-2024,9,271.35
386,226,52,05-05-2023,5,82.65
387,344,236,20-07-2024,4,43.12
388,125,232,04-08-2023,6,57.72
389,485,391,18-11-2023,2,66.84
390,94,73,01-10-2023,10,212.3
391,30,330,20-05-2023,8,256.16
392,336,212,04-07-2024,1,18.69
393,279,307,24-12-2022,8,115.44
394,299,425,14-04-2024,1,24.23
395,159,443,27-05-2024,9,396.45
396,59,424,09-04-2023,6,243
397,368,73,19-01-2023,6,127.38
398,273,334,21-07-2023,9,321.12
399,318,393,27-12-2022,9,396
400,239,33,05-04-2024,10,350.6
401,154,475,06-12-2023,1,47.76
402,199,323,25-12-2022,8,286.64
403,98,398,17-11-2024,10,334.1
404,457,191,02-10-2024,10,421.9
405,405,149,01-05-2024,5,85.45
406,438,78,17-02-2023,10,130.7
407,121,156,14-04-2024,4,126.72
408,485,299,13-12-2023,4,112.76
409,184,303,07-09-2024,6,39.42
410,364,462,01-12-2024,5,246.15
411,486,208,29-10-2023,8,200
412,24,103,16-06-2024,5,216.25
413,158,314,12-07-2023,3,28.77
414,23,234,10-11-2023,1,7.15
415,336,10,07-07-2023,1,24.63
416,149,211,29-12-2023,1,16.19
417,222,254,29-03-2024,4,170.28
418,153,372,04-12-2023,2,35.46
419,330,313,15-05-2023,3,141.48
420,102,415,03-10-2024,1,29.51
421,56,183,01-04-2023,5,77
422,322,176,25-12-2023,8,128.88
423,11,349,10-01-2024,5,221.8
424,291,118,16-01-2024,7,38.64
425,98,308,14-02-2023,6,124.5
426,98,33,18-02-2024,5,175.3
427,287,434,11-09-2023,7,319.06
428,214,175,16-02-2023,10,328.5
429,449,146,01-11-2023,7,101.5
430,206,26,26-07-2024,2,42.1
431,68,276,22-09-2024,1,19.85
432,420,168,04-11-2023,3,42.39
433,37,223,01-03-2023,6,39.12
434,45,83,20-10-2023,10,89.4
435,13,230,14-04-2023,8,48.8
436,224,412,17-06-2024,1,9.83
437,183,360,31-10-2023,6,296.04
438,304,434,16-08-2024,2,91.16
439,346,419,20-05-2023,3,27.84
440,195,343,31-08-2023,9,387.27
441,269,168,18-03-2024,8,113.04
442,57,129,20-05-2023,8,325.92
443,425,108,30-04-2024,10,253.8
444,155,5,12-12-2022,7,76.65
445,21,384,16-04-2024,8,271.36
446,485,380,18-09-2023,3,39.51
447,379,422,05-08-2023,1,45.91
448,115,38,21-11-2024,1,16.47
449,490,222,18-11-2023,1,29.59
450,451,288,18-05-2023,8,223.28
451,87,307,04-08-2023,10,144.3
452,100,412,13-07-2024,1,9.83
453,22,418,19-04-2023,8,255.04
454,386,186,14-06-2024,8,330.64
455,84,409,31-10-2023,2,43.12
456,331,125,19-02-2024,5,162.05
457,387,147,17-03-2024,10,452
458,160,127,19-02-2023,6,69.96
459,163,422,17-08-2024,10,459.1
460,445,237,24-05-2023,2,80.86
461,317,196,18-11-2023,9,60.21
462,22,282,24-11-2024,3,114.57
463,174,279,06-07-2024,5,152.5
464,392,463,20-12-2022,1,11.99
465,337,414,16-01-2023,7,157.85
466,498,273,07-12-2024,7,87.01
467,390,273,22-07-2023,10,124.3
468,162,237,22-11-2023,6,242.58
469,158,97,01-01-2024,6,274.44
470,349,232,30-10-2024,8,76.96
471,79,7,13-12-2022,5,218.15
472,145,136,07-08-2023,6,59.34
473,353,75,19-06-2024,1,47.11
474,194,138,24-03-2023,9,222.93
475,284,161,02-03-2023,7,151.2
476,387,379,02-04-2023,5,28.5
477,162,454,30-05-2023,7,66.92
478,423,350,02-08-2024,4,126.68
479,328,197,26-12-2023,7,301.21
480,415,146,21-06-2023,7,101.5
481,405,353,07-07-2023,10,469.7
482,2,429,31-08-2024,7,298.06
483,459,202,23-11-2023,10,122.6
484,500,274,31-08-2023,6,292.8
485,140,230,04-02-2023,5,30.5
486,322,110,26-04-2023,2,60.3
487,102,245,23-12-2023,7,112.42
488,47,18,23-05-2023,4,157.88
489,211,471,22-02-2023,5,226.9
490,173,93,15-02-2023,9,156.87
491,425,72,14-10-2023,10,465.4
492,284,120,28-04-2024,10,480.3
493,475,19,04-11-2024,1,11.31
494,117,127,23-11-2024,2,23.32
495,216,497,31-03-2023,3,72.3
496,53,233,28-09-2024,6,62.34
497,328,272,25-04-2023,10,51.6
498,152,406,10-03-2024,2,71.58
499,140,48,26-08-2023,1,24.7
500,297,137,17-06-2024,5,131.65
